usage_id,customer_id,date,data_used_gb,calls_minutes,sms_sent,roaming,network_type
USG00999,CUS0141,2023-04-02,16.03,447,33,0,3G
USG01000,CUS0109,2023-12-05,21.44,508,30,1,4G
USG01001,CUS0237,2023-10-22,0.72,78,42,0,5G
USG01002,CUS0261,2023-03-02,5.15,147,16,1,4G
USG01003,CUS0461,2023-08-09,3.23,138,37,0,4G
USG01004,CUS0133,2023-11-18,1.57,31,16,0,4G
USG01005,CUS0432,2023-04-09,0.22,34,31,0,4G
USG01006,CUS0448,2023-06-03,59.95,5058,44,0,4G
USG01007,CUS0074,2023-11-26,20.93,545,24,0,4G
USG01008,CUS0337,2023-06-01,18.16,401,62,1,3G
USG01009,CUS0369,2023-06-16,16.81,474,65,0,4G
USG01010,CUS0173,2023-02-04,0.37,22,28,0,4G
USG01011,CUS0147,2023-01-23,0.59,34,34,0,4G
USG01012,CUS0408,2023-10-07,7.24,142,43,0,4G
USG01013,CUS0060,2023-02-16,17.31,535,53,0,4G
USG01014,CUS0480,2023-06-03,14.53,485,33,1,4G
USG01015,CUS0361,2023-04-02,56.22,4816,36,0,5G
USG01016,CUS0379,2023-08-01,0.71,76,29,0,4G
USG01017,CUS0268,2023-08-26,5.95,128,31,0,3G
USG01018,CUS0197,2023-02-24,4.18,118,45,0,4G
USG01019,CUS0195,2023-04-13,1.28,89,29,0,3G
USG01020,CUS0202,2023-09-23,1.11,1,46,0,4G
USG01021,CUS0428,2023-02-26,16.33,521,1,0,3G
USG01022,CUS0135,2023-04-14,18.52,522,17,0,3G
USG01023,CUS0391,2023-11-09,56.76,4989,31,0,4G
USG01024,CUS0309,2023-09-23,0.74,18,47,0,4G
USG01025,CUS0481,2023-05-20,59.76,4974,46,0,4G
USG01026,CUS0063,2023-10-15,0.54,12,47,1,4G
USG01027,CUS0018,2023-11-11,1.06,114,16,0,4G
USG01028,CUS0467,2023-10-28,60.62,5072,38,0,4G
USG01029,CUS0053,2023-02-25,60.97,5025,46,0,5G
USG01030,CUS0367,2023-01-10,0.74,56,25,0,4G
USG01031,CUS0065,2023-08-31,5.61,7,46,0,4G
USG01032,CUS0078,2023-09-15,4.04,181,55,0,4G
USG01033,CUS0418,2023-02-16,57.82,5103,10,0,5G
USG01034,CUS0266,2023-02-06,0.16,78,8,0,3G
USG01035,CUS0226,2023-05-09,2.52,58,23,0,4G
USG01036,CUS0430,2023-01-25,1.04,16,38,0,4G
USG01037,CUS0279,2023-12-03,1.54,13,41,0,5G
USG01038,CUS0030,2023-02-27,16.01,516,2,0,4G
USG01039,CUS0293,2023-12-22,61.95,5082,7,0,4G
USG01040,CUS0347,2023-09-12,1.3,49,48,0,5G
USG01041,CUS0224,2023-01-11,0.57,90,3,0,5G
USG01042,CUS0167,2023-06-03,1.3,21,50,0,5G
USG01043,CUS0044,2023-02-18,59.52,4937,35,0,3G
USG01044,CUS0175,2023-04-28,0.71,58,25,0,4G
USG01045,CUS0261,2023-09-15,4.71,149,19,0,4G
USG01046,CUS0192,2023-05-07,2.27,131,40,0,5G
USG01047,CUS0141,2023-11-01,16.07,407,55,0,4G
USG01048,CUS0223,2023-08-27,58.94,4985,33,0,5G
USG01049,CUS0411,2023-04-15,58.77,5000,59,0,5G
USG01050,CUS0332,2023-03-07,0.76,171,37,0,5G
USG01051,CUS0008,2023-02-10,60.58,5053,47,0,4G
USG01052,CUS0185,2023-05-13,20.03,531,17,0,4G
USG01053,CUS0205,2023-08-25,9.17,139,13,0,4G
USG01054,CUS0154,2023-12-05,19.72,537,28,0,4G
USG01055,CUS0244,2023-11-25,6.1,183,67,0,3G
USG01056,CUS0023,2023-04-08,59.81,4923,18,0,3G
USG01057,CUS0201,2023-12-17,60.96,4986,16,0,4G
USG01058,CUS0342,2023-12-23,19.39,542,25,0,4G
USG01059,CUS0207,2023-12-04,2.31,20,17,0,5G
USG01060,CUS0203,2023-04-07,17.28,417,36,0,4G
USG01061,CUS0495,2023-09-20,0.39,1,31,0,5G
USG01062,CUS0239,2023-01-19,6.2,103,17,0,4G
USG01063,CUS0350,2023-02-08,0.15,137,4,0,4G
USG01064,CUS0427,2023-07-04,1.54,106,7,0,4G
USG01065,CUS0457,2023-08-24,0.21,1,6,0,4G
USG01066,CUS0308,2023-07-08,2.78,10,6,0,4G
USG01067,CUS0433,2023-10-07,0.87,33,20,0,4G
USG01068,CUS0046,2023-03-21,3.97,171,9,0,5G
USG01069,CUS0109,2023-09-02,16.94,501,12,0,4G
USG01070,CUS0269,2023-03-21,1.66,12,79,0,5G
USG01071,CUS0115,2023-06-18,0.68,91,9,0,4G
USG01072,CUS0155,2023-02-12,15.47,482,19,0,3G
USG01073,CUS0471,2023-01-07,59.0,4987,44,0,4G
USG01074,CUS0195,2023-08-27,5.24,169,27,1,3G
USG01075,CUS0403,2023-01-01,21.27,590,13,0,4G
USG01076,CUS0207,2023-05-10,0.47,42,64,0,5G
USG01077,CUS0051,2023-08-25,59.32,4973,53,0,5G
USG01078,CUS0342,2023-09-16,17.23,478,37,0,3G
USG01079,CUS0147,2023-04-20,0.52,126,0,0,4G
USG01080,CUS0294,2023-01-17,2.76,38,49,0,4G
USG01081,CUS0392,2023-10-30,5.41,151,31,1,5G
USG01082,CUS0415,2023-12-23,2.2,4,4,0,4G
USG01083,CUS0417,2023-07-24,0.62,106,21,0,5G
USG01084,CUS0237,2023-05-17,1.49,69,18,0,4G
USG01085,CUS0098,2023-02-16,59.07,4974,37,0,5G
USG01086,CUS0403,2023-12-06,20.33,485,33,0,5G
USG01087,CUS0223,2023-04-10,56.47,5022,26,0,5G
USG01088,CUS0350,2023-06-16,2.1,66,12,1,5G
USG01089,CUS0191,2023-09-17,2.16,44,27,0,4G
USG01090,CUS0131,2023-12-28,8.96,127,19,0,4G
USG01091,CUS0340,2023-05-21,0.24,24,8,0,5G
USG01092,CUS0229,2023-08-19,6.71,162,15,0,5G
USG01093,CUS0163,2023-02-26,2.89,89,52,0,4G
USG01094,CUS0415,2023-02-28,3.22,108,62,0,4G
USG01095,CUS0108,2023-03-11,0.95,118,24,0,4G
USG01096,CUS0097,2023-06-20,4.03,143,21,0,3G
USG01097,CUS0247,2023-01-24,6.76,251,36,0,4G
USG01098,CUS0417,2023-01-30,2.49,151,63,0,4G
USG01099,CUS0035,2023-08-20,1.82,15,70,1,3G
USG01100,CUS0381,2023-07-30,57.71,4886,11,0,4G
USG01101,CUS0212,2023-04-29,62.18,4907,23,0,4G
USG01102,CUS0301,2023-07-30,17.6,573,1,0,4G
USG01103,CUS0323,2023-09-09,1.77,73,56,0,4G
USG01104,CUS0331,2023-09-16,59.39,5011,23,1,4G
USG01105,CUS0311,2023-08-09,8.05,202,21,0,4G
USG01106,CUS0007,2023-01-14,2.77,32,30,0,4G
USG01107,CUS0437,2023-08-05,16.12,471,49,0,3G
USG01108,CUS0358,2023-09-10,10.18,159,26,0,4G
USG01109,CUS0300,2023-07-13,0.16,72,25,0,4G
USG01110,CUS0491,2023-07-16,2.47,119,41,0,3G
USG01111,CUS0318,2023-02-03,59.15,5042,15,0,5G
USG01112,CUS0193,2023-02-23,56.41,5065,67,0,3G
USG01113,CUS0338,2023-02-22,4.36,36,38,0,3G
USG01114,CUS0410,2023-09-16,0.94,64,21,0,4G
USG01115,CUS0375,2023-11-03,62.69,4948,38,0,4G
USG01116,CUS0024,2023-11-07,60.35,5011,0,0,5G
USG01117,CUS0142,2023-12-09,17.69,512,20,0,3G
USG01118,CUS0459,2023-05-07,2.13,2,9,0,3G
USG01119,CUS0194,2023-02-22,60.57,5054,35,0,5G
USG01120,CUS0316,2023-01-27,60.62,4984,32,0,5G
USG01121,CUS0121,2023-10-18,2.23,60,46,0,5G
USG01122,CUS0410,2023-12-04,0.59,67,1,1,3G
USG01123,CUS0452,2023-10-10,1.76,44,37,0,5G
USG01124,CUS0496,2023-03-16,6.15,279,35,0,3G
USG01125,CUS0156,2023-11-21,14.95,455,30,0,4G
USG01126,CUS0361,2023-05-29,58.56,4954,3,0,4G
USG01127,CUS0076,2023-06-14,1.08,3,58,0,4G
USG01128,CUS0392,2023-05-06,4.22,311,49,1,4G
USG01129,CUS0410,2023-05-15,0.13,74,49,0,3G
USG01130,CUS0429,2023-04-26,15.44,397,57,0,5G
USG01131,CUS0311,2023-06-16,3.93,197,42,0,4G
USG01132,CUS0489,2023-02-21,56.5,5034,39,0,5G
USG01133,CUS0454,2023-07-17,20.43,493,37,0,4G
USG01134,CUS0412,2023-08-18,2.42,41,61,0,5G
USG01135,CUS0493,2023-05-28,7.8,238,35,0,4G
USG01136,CUS0271,2023-05-19,8.2,88,16,0,4G
USG01137,CUS0480,2023-03-04,19.87,481,20,0,4G
USG01138,CUS0204,2023-10-08,6.17,50,31,0,4G
USG01139,CUS0168,2023-06-18,1.44,6,5,1,3G
USG01140,CUS0069,2023-06-05,63.38,5020,7,0,4G
USG01141,CUS0298,2023-03-04,58.67,4897,6,0,3G
USG01142,CUS0260,2023-03-15,2.19,5,37,0,4G
USG01143,CUS0111,2023-03-20,19.34,488,49,0,4G
USG01144,CUS0463,2023-01-01,18.99,426,11,1,4G
USG01145,CUS0050,2023-04-04,1.03,66,50,0,5G
USG01146,CUS0427,2023-06-17,1.11,61,69,0,4G
USG01147,CUS0472,2023-04-05,17.3,556,29,0,3G
USG01148,CUS0351,2023-03-16,57.09,5080,38,0,5G
USG01149,CUS0230,2023-05-22,8.85,183,9,0,5G
USG01150,CUS0278,2023-04-04,5.81,206,15,0,4G
USG01151,CUS0456,2023-03-19,60.28,5066,4,0,4G
USG01152,CUS0345,2023-03-04,0.96,67,48,0,4G
USG01153,CUS0393,2023-01-04,5.72,104,40,0,4G
USG01154,CUS0380,2023-05-25,4.69,172,36,0,3G
USG01155,CUS0413,2023-10-04,0.13,79,52,0,4G
USG01156,CUS0048,2023-06-28,57.31,5028,25,0,4G
USG01157,CUS0083,2023-04-17,1.13,63,52,1,4G
USG01158,CUS0047,2023-12-08,59.65,4978,4,0,4G
USG01159,CUS0127,2023-08-21,17.61,498,10,0,3G
USG01160,CUS0321,2023-08-19,17.34,527,57,0,3G
USG01161,CUS0175,2023-04-13,0.0,149,49,0,3G
USG01162,CUS0366,2023-06-27,19.72,535,31,0,5G
USG01163,CUS0186,2023-12-25,16.75,496,31,0,3G
USG01164,CUS0035,2023-05-30,2.14,153,70,0,4G
USG01165,CUS0379,2023-03-02,1.72,91,16,0,4G
USG01166,CUS0228,2023-05-25,2.12,55,35,0,3G
USG01167,CUS0156,2023-07-14,20.88,647,36,0,4G
USG01168,CUS0481,2023-03-02,62.69,5068,35,0,5G
USG01169,CUS0228,2023-08-07,3.55,85,62,0,4G
USG01170,CUS0203,2023-02-22,15.99,364,33,0,4G
USG01171,CUS0262,2023-08-10,61.96,5065,19,0,4G
USG01172,CUS0247,2023-07-15,7.21,114,44,0,4G
USG01173,CUS0193,2023-11-25,58.63,4938,50,0,4G
USG01174,CUS0473,2023-07-20,0.58,24,47,0,4G
USG01175,CUS0211,2023-09-21,60.33,4864,54,0,4G
USG01176,CUS0229,2023-08-28,3.67,126,28,0,5G
USG01177,CUS0245,2023-11-10,5.95,62,49,0,4G
USG01178,CUS0089,2023-05-11,1.65,94,3,0,4G
USG01179,CUS0212,2023-12-30,60.13,4966,11,0,4G
USG01180,CUS0141,2023-10-02,18.72,566,40,0,4G
USG01181,CUS0449,2023-04-20,59.5,5047,9,0,4G
USG01182,CUS0240,2023-07-30,18.77,535,29,0,4G
USG01183,CUS0046,2023-11-23,5.62,161,19,0,4G
USG01184,CUS0159,2023-07-12,1.49,107,7,0,4G
USG01185,CUS0296,2023-12-05,8.62,181,35,0,3G
USG01186,CUS0325,2023-08-10,58.12,4978,19,0,4G
USG01187,CUS0116,2023-02-05,19.48,541,54,0,4G
USG01188,CUS0299,2023-08-17,60.23,4881,11,0,3G
USG01189,CUS0339,2023-06-29,5.37,172,0,0,4G
USG01190,CUS0123,2023-11-17,0.29,36,18,0,5G
USG01191,CUS0219,2023-06-18,5.7,288,30,0,4G
USG01192,CUS0253,2023-08-17,64.01,5015,16,1,3G
USG01193,CUS0289,2023-09-19,1.76,7,29,0,4G
USG01194,CUS0417,2023-03-23,3.81,52,18,1,4G
USG01195,CUS0401,2023-02-10,2.89,37,22,0,4G
USG01196,CUS0256,2023-06-02,0.25,62,22,0,5G
USG01197,CUS0210,2023-09-30,0.28,172,27,1,4G
USG01198,CUS0089,2023-12-08,3.6,148,38,0,4G
USG01199,CUS0195,2023-03-20,3.06,90,49,0,4G
USG01200,CUS0186,2023-02-04,19.15,530,32,0,4G
USG01201,CUS0336,2023-08-08,5.05,124,17,0,4G
USG01202,CUS0041,2023-09-07,6.39,228,11,0,3G
USG01203,CUS0321,2023-05-23,16.8,441,28,0,4G
USG01204,CUS0137,2023-04-06,3.83,40,36,0,4G
USG01205,CUS0418,2023-08-21,55.4,4990,39,0,4G
USG01206,CUS0389,2023-03-10,0.58,36,39,0,3G
USG01207,CUS0391,2023-10-15,59.78,5107,18,1,4G
USG01208,CUS0499,2023-07-05,17.69,477,31,0,5G
USG01209,CUS0121,2023-11-24,1.81,140,42,0,5G
USG01210,CUS0172,2023-07-16,17.54,478,40,0,4G
USG01211,CUS0007,2023-01-05,2.51,35,26,0,3G
USG01212,CUS0401,2023-11-20,1.28,4,23,0,4G
USG01213,CUS0256,2023-04-29,0.96,38,4,0,4G
USG01214,CUS0153,2023-04-17,4.14,171,45,0,4G
USG01215,CUS0288,2023-09-02,59.9,4787,0,0,3G
USG01216,CUS0043,2023-01-06,2.61,159,53,0,4G
USG01217,CUS0302,2023-10-07,0.2,9,21,0,4G
USG01218,CUS0255,2023-04-17,9.43,164,11,0,5G
USG01219,CUS0307,2023-04-18,19.88,549,9,0,4G
USG01220,CUS0241,2023-04-22,58.77,5059,48,0,4G
USG01221,CUS0356,2023-05-13,15.56,500,47,0,4G
USG01222,CUS0326,2023-08-15,60.7,4937,26,0,5G
USG01223,CUS0343,2023-04-16,19.33,529,11,0,3G
USG01224,CUS0307,2023-04-05,22.65,514,0,0,4G
USG01225,CUS0160,2023-07-23,59.38,4838,16,0,4G
USG01226,CUS0152,2023-06-28,5.96,293,34,0,4G
USG01227,CUS0296,2023-03-17,6.77,196,34,0,4G
USG01228,CUS0060,2023-07-11,16.87,581,40,0,4G
USG01229,CUS0494,2023-02-19,63.1,5062,12,0,5G
USG01230,CUS0212,2023-05-19,59.16,4977,23,0,3G
USG01231,CUS0481,2023-05-26,60.95,4991,15,0,5G
USG01232,CUS0176,2023-05-11,62.96,5082,31,0,4G
USG01233,CUS0114,2023-06-19,58.0,4965,16,0,4G
USG01234,CUS0409,2023-08-09,58.33,4944,35,0,4G
USG01235,CUS0013,2023-11-28,1.27,57,12,0,4G
USG01236,CUS0263,2023-05-20,18.67,619,35,0,4G
USG01237,CUS0060,2023-11-23,17.32,663,37,0,4G
USG01238,CUS0261,2023-04-03,4.87,204,16,0,4G
USG01239,CUS0297,2023-08-17,59.39,5061,19,0,4G
USG01240,CUS0270,2023-09-22,3.19,194,47,0,4G
USG01241,CUS0176,2023-08-04,57.4,4981,52,0,4G
USG01242,CUS0288,2023-04-03,60.59,5051,28,0,4G
USG01243,CUS0468,2023-03-10,4.87,120,25,0,4G
USG01244,CUS0312,2023-12-20,6.47,4,6,0,4G
USG01245,CUS0455,2023-05-07,18.14,543,18,1,5G
USG01246,CUS0122,2023-03-08,1.95,0,4,0,3G
USG01247,CUS0180,2023-09-13,60.45,4999,21,0,4G
USG01248,CUS0099,2023-12-07,3.59,158,30,0,3G
USG01249,CUS0266,2023-09-01,1.44,56,24,0,4G
USG01250,CUS0022,2023-02-13,19.15,527,66,0,4G
USG01251,CUS0249,2023-03-18,8.86,150,7,0,4G
USG01252,CUS0489,2023-11-20,61.34,4967,60,0,5G
USG01253,CUS0077,2023-07-12,3.2,127,60,0,4G
USG01254,CUS0299,2023-06-21,60.1,5044,43,0,3G
USG01255,CUS0174,2023-07-23,17.13,551,13,0,4G
USG01256,CUS0011,2023-09-09,5.45,276,27,0,4G
USG01257,CUS0102,2023-10-07,60.79,4939,56,0,4G
USG01258,CUS0353,2023-08-24,4.28,108,18,0,4G
USG01259,CUS0308,2023-02-21,1.17,51,24,0,4G
USG01260,CUS0053,2023-04-08,59.11,4995,11,0,4G
USG01261,CUS0186,2023-12-17,16.29,482,30,1,4G
USG01262,CUS0385,2023-10-04,4.24,149,25,1,3G
USG01263,CUS0413,2023-08-25,2.68,67,40,0,4G
USG01264,CUS0155,2023-10-07,19.99,464,56,0,4G
USG01265,CUS0251,2023-04-01,2.19,32,38,1,4G
USG01266,CUS0347,2023-10-25,3.95,254,35,0,4G
USG01267,CUS0490,2023-12-09,15.13,435,20,0,4G
USG01268,CUS0311,2023-03-06,4.94,177,47,1,3G
USG01269,CUS0225,2023-11-01,2.6,62,12,0,4G
USG01270,CUS0141,2023-01-15,20.2,572,7,0,5G
USG01271,CUS0139,2023-09-28,0.48,10,15,1,4G
USG01272,CUS0237,2023-04-17,3.84,87,31,0,4G
USG01273,CUS0125,2023-03-17,15.65,380,12,1,5G
USG01274,CUS0139,2023-03-09,1.0,22,11,0,4G
USG01275,CUS0485,2023-01-02,2.37,4,36,0,4G
USG01276,CUS0260,2023-02-23,0.76,46,28,0,5G
USG01277,CUS0431,2023-01-22,59.85,5068,14,0,4G
USG01278,CUS0253,2023-09-09,60.38,4921,52,0,5G
USG01279,CUS0207,2023-03-09,3.2,117,31,0,3G
USG01280,CUS0143,2023-05-17,17.74,424,35,0,4G
USG01281,CUS0236,2023-11-28,4.43,101,63,0,4G
USG01282,CUS0456,2023-09-19,58.39,5027,14,0,4G
USG01283,CUS0266,2023-04-21,1.49,107,26,0,4G
USG01284,CUS0169,2023-04-29,21.51,502,42,0,4G
USG01285,CUS0025,2023-08-03,16.79,470,22,0,4G
USG01286,CUS0472,2023-09-02,18.97,597,30,0,4G
USG01287,CUS0389,2023-07-28,0.71,24,3,0,4G
USG01288,CUS0074,2023-10-12,18.94,501,9,0,3G
USG01289,CUS0398,2023-08-29,5.3,204,38,0,4G
USG01290,CUS0285,2023-04-17,0.69,103,37,0,4G
USG01291,CUS0375,2023-04-18,58.93,5010,66,0,4G
USG01292,CUS0371,2023-06-21,57.85,5059,27,0,5G
USG01293,CUS0297,2023-10-15,61.23,5022,35,0,4G
USG01294,CUS0336,2023-05-18,5.7,150,43,0,3G
USG01295,CUS0296,2023-08-04,6.89,64,38,0,4G
USG01296,CUS0169,2023-08-07,20.56,552,34,0,4G
USG01297,CUS0222,2023-05-03,14.44,534,42,0,4G
USG01298,CUS0265,2023-07-20,62.86,4943,25,0,4G
USG01299,CUS0191,2023-06-02,0.43,14,3,0,4G
USG01300,CUS0226,2023-01-09,0.32,4,22,0,4G
USG01301,CUS0203,2023-09-11,21.1,462,21,0,5G
USG01302,CUS0062,2023-07-07,2.77,3,53,1,5G
USG01303,CUS0008,2023-03-19,60.86,4962,15,0,4G
USG01304,CUS0446,2023-08-27,0.85,17,31,0,4G
USG01305,CUS0466,2023-05-01,58.85,5033,16,0,4G
USG01306,CUS0230,2023-05-11,5.05,138,5,0,3G
USG01307,CUS0228,2023-07-18,1.15,46,1,0,4G
USG01308,CUS0409,2023-07-07,56.47,5071,24,0,5G
USG01309,CUS0419,2023-12-28,5.69,111,60,0,3G
USG01310,CUS0469,2023-03-16,0.16,75,39,0,3G
USG01311,CUS0375,2023-04-21,58.05,5023,27,1,3G
USG01312,CUS0341,2023-10-24,8.45,176,22,0,5G
USG01313,CUS0067,2023-02-21,3.36,189,19,0,4G
USG01314,CUS0216,2023-07-29,2.71,51,38,0,4G
USG01315,CUS0301,2023-04-28,15.56,442,57,0,4G
USG01316,CUS0294,2023-06-16,2.09,28,65,0,5G
USG01317,CUS0417,2023-04-04,3.0,73,10,0,5G
USG01318,CUS0170,2023-02-03,0.58,116,9,0,5G
USG01319,CUS0010,2023-02-26,1.32,12,49,0,5G
USG01320,CUS0090,2023-11-23,18.46,527,33,0,4G
USG01321,CUS0230,2023-03-05,6.21,221,101,0,4G
USG01322,CUS0088,2023-06-06,1.54,107,21,0,4G
USG01323,CUS0462,2023-09-21,9.17,156,33,0,5G
USG01324,CUS0351,2023-05-22,59.11,4954,19,0,4G
USG01325,CUS0151,2023-05-15,16.1,424,66,0,4G
USG01326,CUS0465,2023-11-08,1.51,89,40,0,4G
USG01327,CUS0228,2023-03-09,0.99,62,12,0,4G
USG01328,CUS0089,2023-07-22,0.24,54,33,0,4G
USG01329,CUS0207,2023-09-01,2.01,68,24,0,4G
USG01330,CUS0397,2023-07-06,1.89,135,73,0,3G
USG01331,CUS0424,2023-11-27,2.85,17,38,0,5G
USG01332,CUS0171,2023-12-16,7.93,210,54,0,4G
USG01333,CUS0423,2023-03-11,8.49,174,24,0,4G
USG01334,CUS0358,2023-08-24,2.96,214,42,0,5G
USG01335,CUS0106,2023-03-12,1.08,31,22,0,4G
USG01336,CUS0349,2023-10-06,59.14,5104,23,0,3G
USG01337,CUS0096,2023-02-05,10.85,142,15,0,4G
USG01338,CUS0109,2023-02-25,18.27,644,27,0,5G
USG01339,CUS0256,2023-06-17,2.83,75,41,0,4G
USG01340,CUS0423,2023-05-24,3.27,143,57,0,4G
USG01341,CUS0358,2023-10-17,5.5,192,25,0,4G
USG01342,CUS0294,2023-01-23,1.13,76,51,1,5G
USG01343,CUS0133,2023-09-28,0.79,28,10,1,5G
USG01344,CUS0444,2023-08-09,14.63,507,26,0,3G
USG01345,CUS0279,2023-06-24,1.13,92,46,0,4G
USG01346,CUS0132,2023-03-02,1.16,45,35,0,4G
USG01347,CUS0401,2023-10-11,0.1,105,13,0,4G
USG01348,CUS0383,2023-04-12,5.8,194,23,0,5G
USG01349,CUS0330,2023-12-30,2.2,110,29,0,4G
USG01350,CUS0141,2023-05-20,17.06,530,43,0,4G
USG01351,CUS0399,2023-01-23,59.81,4963,18,0,3G
USG01352,CUS0180,2023-10-22,61.55,4990,39,0,3G
USG01353,CUS0174,2023-05-18,14.14,469,21,0,4G
USG01354,CUS0444,2023-11-19,17.01,381,20,0,5G
USG01355,CUS0262,2023-06-01,63.09,5016,18,0,4G
USG01356,CUS0284,2023-03-31,16.51,417,33,1,4G
USG01357,CUS0264,2023-09-21,4.38,124,47,0,5G
USG01358,CUS0487,2023-08-03,61.82,5034,3,0,3G
USG01359,CUS0085,2023-01-22,58.8,5068,5,0,4G
USG01360,CUS0010,2023-11-29,4.24,56,48,0,4G
USG01361,CUS0014,2023-11-05,5.09,77,8,1,4G
USG01362,CUS0066,2023-06-05,8.83,128,4,0,4G
USG01363,CUS0260,2023-12-18,3.35,35,25,0,3G
USG01364,CUS0333,2023-03-21,1.2,45,37,0,4G
USG01365,CUS0164,2023-03-31,5.74,0,34,0,4G
USG01366,CUS0229,2023-07-26,5.83,135,38,0,4G
USG01367,CUS0198,2023-03-11,61.45,5009,59,0,5G
USG01368,CUS0123,2023-07-26,4.9,44,22,0,4G
USG01369,CUS0271,2023-06-18,3.32,181,6,0,3G
USG01370,CUS0443,2023-02-18,5.08,116,18,0,5G
USG01371,CUS0284,2023-11-18,19.27,445,7,0,4G
USG01372,CUS0291,2023-05-11,2.04,33,34,0,4G
USG01373,CUS0449,2023-06-18,59.65,5090,35,0,3G
USG01374,CUS0010,2023-10-03,4.87,109,13,0,4G
USG01375,CUS0362,2023-08-04,1.83,99,29,0,4G
USG01376,CUS0163,2023-01-29,5.06,22,19,0,4G
USG01377,CUS0355,2023-03-05,58.66,5038,11,0,4G
USG01378,CUS0334,2023-03-20,16.79,469,34,0,3G
USG01379,CUS0236,2023-12-01,1.27,63,26,0,4G
USG01380,CUS0156,2023-06-14,15.82,437,53,0,4G
USG01381,CUS0382,2023-06-11,61.33,5021,12,0,4G
USG01382,CUS0365,2023-12-22,0.21,51,6,0,4G
USG01383,CUS0390,2023-10-11,16.93,460,3,0,4G
USG01384,CUS0231,2023-05-21,1.97,48,19,0,4G
USG01385,CUS0411,2023-06-06,56.71,5117,6,0,4G
USG01386,CUS0337,2023-08-09,18.29,435,42,1,5G
USG01387,CUS0145,2023-10-11,60.0,5056,27,0,4G
USG01388,CUS0211,2023-10-13,58.34,5081,27,0,4G
USG01389,CUS0471,2023-05-08,59.44,4986,13,0,4G
USG01390,CUS0489,2023-12-11,60.56,5095,58,0,5G
USG01391,CUS0414,2023-12-21,1.05,64,43,1,4G
USG01392,CUS0027,2023-04-26,0.82,115,33,1,4G
USG01393,CUS0387,2023-03-20,3.18,62,10,0,4G
USG01394,CUS0081,2023-09-28,2.25,96,22,0,5G
USG01395,CUS0204,2023-09-03,6.4,226,0,0,4G
USG01396,CUS0492,2023-04-29,3.32,18,23,0,4G
USG01397,CUS0287,2023-09-07,64.0,5054,38,0,4G
USG01398,CUS0187,2023-08-12,17.64,379,1,0,5G
USG01399,CUS0231,2023-03-08,0.22,36,19,0,5G
USG01400,CUS0170,2023-11-30,0.65,66,14,1,3G
USG01401,CUS0283,2023-10-09,0.43,33,52,0,4G
USG01402,CUS0245,2023-07-23,2.43,90,43,0,4G
USG01403,CUS0333,2023-09-10,3.65,4,49,1,4G
USG01404,CUS0241,2023-02-09,58.0,4958,27,0,3G
USG01405,CUS0165,2023-04-30,3.03,61,14,0,3G
USG01406,CUS0332,2023-02-10,1.16,36,34,0,5G
USG01407,CUS0430,2023-10-14,2.75,18,39,0,5G
USG01408,CUS0158,2023-09-29,3.37,123,25,0,4G
USG01409,CUS0250,2023-04-22,3.08,27,29,0,4G
USG01410,CUS0212,2023-03-05,59.66,4998,3,0,4G
USG01411,CUS0278,2023-08-05,6.78,92,25,0,4G
USG01412,CUS0491,2023-05-03,1.33,139,28,0,4G
USG01413,CUS0175,2023-01-12,4.65,14,22,0,4G
USG01414,CUS0029,2023-01-08,8.73,121,36,0,4G
USG01415,CUS0471,2023-12-11,62.09,4970,14,0,3G
USG01416,CUS0306,2023-06-03,0.11,84,36,0,5G
USG01417,CUS0353,2023-11-20,8.37,127,18,0,3G
USG01418,CUS0233,2023-08-26,1.87,5,16,0,3G
USG01419,CUS0021,2023-02-19,1.35,2,13,0,5G
USG01420,CUS0166,2023-04-06,0.23,81,21,0,5G
USG01421,CUS0451,2023-01-15,0.76,85,54,0,3G
USG01422,CUS0445,2023-03-31,5.19,128,8,0,4G
USG01423,CUS0378,2023-11-09,56.68,4990,55,0,4G
USG01424,CUS0169,2023-01-04,21.48,543,18,0,4G
USG01425,CUS0199,2023-11-03,6.82,55,26,0,4G
USG01426,CUS0170,2023-06-18,1.96,24,56,0,4G
USG01427,CUS0091,2023-01-12,5.95,66,35,0,4G
USG01428,CUS0237,2023-10-05,1.71,14,58,0,4G
USG01429,CUS0113,2023-09-14,8.12,194,36,0,4G
USG01430,CUS0111,2023-07-29,21.09,478,24,0,4G
USG01431,CUS0130,2023-10-01,23.42,442,37,1,5G
USG01432,CUS0136,2023-12-23,0.86,144,22,0,4G
USG01433,CUS0038,2023-10-23,0.28,5,44,0,3G
USG01434,CUS0450,2023-10-22,15.8,405,25,0,4G
USG01435,CUS0178,2023-08-02,0.9,86,21,1,4G
USG01436,CUS0131,2023-01-09,4.6,161,36,0,5G
USG01437,CUS0031,2023-05-02,7.85,148,8,0,5G
USG01438,CUS0335,2023-08-23,5.72,144,26,0,4G
USG01439,CUS0037,2023-09-30,6.88,127,50,0,4G
USG01440,CUS0051,2023-03-15,59.23,5077,5,0,3G
USG01441,CUS0231,2023-05-01,4.3,33,85,0,5G
USG01442,CUS0415,2023-05-21,1.1,47,33,0,4G
USG01443,CUS0420,2023-08-31,0.43,40,30,0,4G
USG01444,CUS0210,2023-11-14,5.76,127,33,0,4G
USG01445,CUS0044,2023-01-13,61.24,5031,6,0,5G
